ProductID,ProductName,Version,Description,LineID,TargetIdealCycleTime (s),TargetOEE (%),TargetAvailability (%),TargetPerformance (%),TargetQuality (%)
BPA-100,Brake Pedal Assembly,BPA-100,"For truck, reinforced steel, left-hand drive",L1,68,85,91,93,96
BPA-101,Brake Pedal Assembly,BPA-101,"For compact car, aluminum, left-hand drive",L1,46,88,92,94,98
BPA-102,Brake Pedal Assembly,BPA-102,"For sedan, standard steel, right-hand drive",L1,71,86,90,91,97
BPA-103,Brake Pedal Assembly,BPA-103,"For SUV, steel, right-hand drive",L1,74,87,90,92,98
BPA-104,Brake Pedal Assembly,BPA-104,"For sedan, standard steel, right-hand drive",L1,57,84,90,93,96
BPA-105,Brake Pedal Assembly,BPA-105,"For truck, reinforced steel, left-hand drive",L1,47,85,92,93,98
BPA-106,Brake Pedal Assembly,BPA-106,"For compact car, aluminum, left-hand drive",L1,64,88,92,94,97
BPA-107,Brake Pedal Assembly,BPA-107,"For compact car, steel, left-hand drive",L1,51,88,89,91,98
BPA-108,Brake Pedal Assembly,BPA-108,"For SUV, steel, right-hand drive",L1,60,88,91,93,98
BPA-109,Brake Pedal Assembly,BPA-109,"For truck, reinforced steel, left-hand drive",L1,68,88,91,91,98
BPA-110,Brake Pedal Assembly,BPA-110,"For compact car, steel, left-hand drive",L1,47,85,90,92,98
BPA-111,Brake Pedal Assembly,BPA-111,"For SUV, steel, right-hand drive",L1,49,88,91,92,96
BPA-112,Brake Pedal Assembly,BPA-112,"For compact car, steel, left-hand drive",L1,54,88,89,91,98
BPA-113,Brake Pedal Assembly,BPA-113,"For compact car, steel, left-hand drive",L1,67,86,92,91,98
BPA-114,Brake Pedal Assembly,BPA-114,"For compact car, aluminum, left-hand drive",L1,67,84,91,92,98
BPA-115,Brake Pedal Assembly,BPA-115,"For sedan, standard steel, right-hand drive",L1,43,86,92,91,96
BPA-116,Brake Pedal Assembly,BPA-116,"For SUV, steel, right-hand drive",L1,64,86,92,91,96
BPA-117,Brake Pedal Assembly,BPA-117,"For compact car, aluminum, left-hand drive",L1,44,84,92,91,98
BPA-118,Brake Pedal Assembly,BPA-118,"For compact car, aluminum, left-hand drive",L1,71,84,92,92,96
